id,name,week_day,start_time,end_time,location_id:id
maya_core.session_schedule_L_01_CEED,L01,0L,9.0,9.9166666,maya_core.location_CEED
maya_core.session_schedule_L_02_CEED,L02,0L,9.9166666,10.8333333,maya_core.location_CEED
maya_core.session_schedule_L_03_CEED,L03,0L,11.1666666,12.08333333,maya_core.location_CEED
maya_core.session_schedule_L_04_CEED,L04,0L,12.08333333,13.00,maya_core.location_CEED
maya_core.session_schedule_L_05_CEED,L05,0L,13.00,13.9166666,maya_core.location_CEED
maya_core.session_schedule_L_06_CEED,L06,0L,13.9166666,14.8333333,maya_core.location_CEED
maya_core.session_schedule_L_07_CEED,L07,0L,15.08333333,16.00,maya_core.location_CEED
maya_core.session_schedule_L_08_CEED,L08,0L,16.00,16.9166666,maya_core.location_CEED
maya_core.session_schedule_L_09_CEED,L09,0L,16.9166666,17.8333333,maya_core.location_CEED
maya_core.session_schedule_L_10_CEED,L10,0L,18.1666666,19.08333333,maya_core.location_CEED
maya_core.session_schedule_L_11_CEED,L11,0L,19.08333333,20.00,maya_core.location_CEED
maya_core.session_schedule_M_01_CEED,M01,1M,9.0,9.9166666,maya_core.location_CEED
maya_core.session_schedule_M_02_CEED,M02,1M,9.9166666,10.8333333,maya_core.location_CEED
maya_core.session_schedule_M_03_CEED,M03,1M,11.1666666,12.08333333,maya_core.location_CEED
maya_core.session_schedule_M_04_CEED,M04,1M,12.08333333,13.00,maya_core.location_CEED
maya_core.session_schedule_M_05_CEED,M05,1M,13.00,13.9166666,maya_core.location_CEED
maya_core.session_schedule_M_06_CEED,M06,1M,13.9166666,14.8333333,maya_core.location_CEED
maya_core.session_schedule_M_07_CEED,M07,1M,15.08333333,16.00,maya_core.location_CEED
maya_core.session_schedule_M_08_CEED,M08,1M,16.00,16.9166666,maya_core.location_CEED
maya_core.session_schedule_M_09_CEED,M09,1M,16.9166666,17.8333333,maya_core.location_CEED
maya_core.session_schedule_M_10_CEED,M10,1M,18.1666666,19.08333333,maya_core.location_CEED
maya_core.session_schedule_M_11_CEED,M11,1M,19.08333333,20.00,maya_core.location_CEED
maya_core.session_schedule_X_01_CEED,X01,2X,9.0,9.9166666,maya_core.location_CEED
maya_core.session_schedule_X_02_CEED,X02,2X,9.9166666,10.8333333,maya_core.location_CEED
maya_core.session_schedule_X_03_CEED,X03,2X,11.1666666,12.08333333,maya_core.location_CEED
maya_core.session_schedule_X_04_CEED,X04,2X,12.08333333,13.00,maya_core.location_CEED
maya_core.session_schedule_X_05_CEED,X05,2X,13.00,13.9166666,maya_core.location_CEED
maya_core.session_schedule_X_06_CEED,X06,2X,13.9166666,14.8333333,maya_core.location_CEED
maya_core.session_schedule_X_07_CEED,X07,2X,15.08333333,16.00,maya_core.location_CEED
maya_core.session_schedule_X_08_CEED,X08,2X,16.00,16.9166666,maya_core.location_CEED
maya_core.session_schedule_X_09_CEED,X09,2X,16.9166666,17.8333333,maya_core.location_CEED
maya_core.session_schedule_X_10_CEED,X10,2X,18.1666666,19.08333333,maya_core.location_CEED
maya_core.session_schedule_X_11_CEED,X11,2X,19.08333333,20.00,maya_core.location_CEED
maya_core.session_schedule_J_01_CEED,J01,3J,9.0,9.9166666,maya_core.location_CEED
maya_core.session_schedule_J_02_CEED,J02,3J,9.9166666,10.8333333,maya_core.location_CEED
maya_core.session_schedule_J_03_CEED,J03,3J,11.1666666,12.08333333,maya_core.location_CEED
maya_core.session_schedule_J_04_CEED,J04,3J,12.08333333,13.00,maya_core.location_CEED
maya_core.session_schedule_J_05_CEED,J05,3J,13.00,13.9166666,maya_core.location_CEED
maya_core.session_schedule_J_06_CEED,J06,3J,13.9166666,14.8333333,maya_core.location_CEED
maya_core.session_schedule_J_07_CEED,J07,3J,15.08333333,16.00,maya_core.location_CEED
maya_core.session_schedule_J_08_CEED,J08,3J,16.00,16.9166666,maya_core.location_CEED
maya_core.session_schedule_J_09_CEED,J09,3J,16.9166666,17.8333333,maya_core.location_CEED
maya_core.session_schedule_J_10_CEED,J10,3J,18.1666666,19.08333333,maya_core.location_CEED
maya_core.session_schedule_J_11_CEED,J11,3J,19.08333333,20.00,maya_core.location_CEED
maya_core.session_schedule_V_01_CEED,V01,4V,9.0,9.9166666,maya_core.location_CEED
maya_core.session_schedule_V_02_CEED,V02,4V,9.9166666,10.8333333,maya_core.location_CEED
maya_core.session_schedule_V_03_CEED,V03,4V,11.1666666,12.08333333,maya_core.location_CEED
maya_core.session_schedule_V_04_CEED,V04,4V,12.08333333,13.00,maya_core.location_CEED
maya_core.session_schedule_V_05_CEED,V05,4V,13.00,13.9166666,maya_core.location_CEED
maya_core.session_schedule_V_06_CEED,V06,4V,13.9166666,14.8333333,maya_core.location_CEED
