id,company_id:id,abbr,name,code,grade,family,law,active
maya_core.BCH_artes_plasticas,bachillerato_company,BAP,Bachillerato Artes Plásticas,BAA,NG,NF,LOMLOE,1
maya_core.BCH_artes_musicales,bachillerato_company,BAM,Bachillerato Artes Musicales,BAM,NG,NF,LOMLOE,1
maya_core.BCH_ciencias,bachillerato_company,BCT,Bachillerato Ciencias y Tecnología,BAC,NG,NF,LOMLOE,1
maya_core.BCH_general,bachillerato_company,BGN,Bachillerato General,BAG,NG,NF,LOMLOE,1
maya_core.BCH_humanidades,bachillerato_company,BHC,Bachillerato Humanidades y Ciencias Sociales,BAH,NG,NF,LOMLOE,1
maya_core.CF_DAM,fp_company,DAM,Desarrollo de Aplicaciones Multiplataforma,836104,GS,IC,LFP,1
maya_core.CF_DAW,fp_company,DAW,Desarrollo de Aplicaciones Web,845104,GS,IC,LFP,1
maya_core.CF_ASIR,fp_company,ASIR,Administración de Sistemas Informáticos y Redes,829104,GS,IC,LFP,1
maya_core.CF_ADI,fp_company,ADI,Asistencia a Dirección,906104,GS,AD,LFP,1
maya_core.CF_AFI,fp_company,AFI,Administración y Finanzas,441104,GS,AD,LFP,1
maya_core.CF_GAT,fp_company,GAT,Gestión de Alojamientos Turísticos,714104,GS,HT,LFP,1
maya_core.CF_GIAT,fp_company,GIAT,Guía Información y Asistencias Turísticas,828104,GS,HT,LFP,1
maya_core.CF_AVGE,fp_company,AVGE,Agencias de Viajes y Gestión de Eventos,827104,GS,HT,LFP,1
maya_core.CF_CI,fp_company,CI,Comercio Internacional,449104,GS,CM,LFP,1
maya_core.CF_TIL,fp_company,TIL,Transporte y Logística,898104,GS,CM,LFP,1
maya_core.CF_GVEC,fp_company,GVEC,Gestión y Ventas de Espacios Comerciales,899104,GS,CM,LFP,1
maya_core.CF_MIP,fp_company,MIP,Marketing y Publicidad,222104,GS,CM,LFP,1
maya_core.FPA_ESPAI_P1,fpa_company,ESPAI,ESPA Módulo I,ES011,NG,NF,LOMLOE,1
maya_core.FPA_ESPAII_P1,fpa_company,ESPAII,ESPA Módulo II,ES012,NG,NF,LOMLOE,1
maya_core.FPA_ESPAIII_P1,fpa_company,ESPAIII,ESPA Módulo III,ES021,NG,NF,LOMLOE,1
maya_core.FPA_ESPAIV_P1,fpa_company,ESPAIV,ESPA Módulo IV,ES012,NG,NF,LOMLOE,1
maya_core.FPA_AGSA,fpa_company,ACGSA,Pruebas de acceso a Grado Superior A,PB008,NG,NF,NR
maya_core.FPA_AGSB,fpa_company,ACGSB,Pruebas de acceso a Grado Superior B,PB009,NG,NF,NR
maya_core.FPA_AGSC,fpa_company,ACGSC,Pruebas de acceso a Grado Superior C,PB010,NG,NF,NR
maya_core.FPA_AGM,fpa_company,ACGM,Pruebas de acceso a Grado Medio,PB011,NG,NF,NR
maya_core.FPA_M20,fpa_company,M20,Pruebas de acceso a Bachiller +20,PB117,NG,NF,NR
maya_core.FPA_AEAS,fpa_company,ACEAS,Pruebas de acceso a Enseñanzas Artísticas Superiores,PB087,NG,NF,NR
maya_core.FPA_AAPDM,fpa_company,ACAPDM,Pruebas de acceso a Artes Plásticas y Diseño,PB108,NG,NF,NR
maya_core.FPA_AAPDS,fpa_company,ACAPDS,Pruebas de acceso a Artes Plásticas y Diseño,PB111,NG,NF,NR
maya_core.FPA_JQCVA1,fpa_company,JQCVA1,Preparación exámenes JQCV A1,PC109,NG,NF,NR
maya_core.FPA_JQCVA2,fpa_company,JQCVA2,Preparación exámenes JQCV A2,PC002,NG,NF,NR
maya_core.FPA_JQCVB1,fpa_company,JQCVB1,Preparación exámenes JQCV B1,PC001,NG,NF,NR
maya_core.FPA_JQCVB2,fpa_company,JQCVB2,Preparación exámenes JQCV B2,PC110,NG,NF,NR
maya_core.FPA_JQCVC1,fpa_company,JQCVC1,Preparación exámenes JQCV C1,PC003,NG,NF,NR
maya_core.FPA_JQCVC2,fpa_company,JQCVC2,Preparación exámenes JQCV C2,PC004,NG,NF,NR
maya_core.FPA_PAU25A,fpa_company,PAU25A,Preparación PAU +25 A,PD002,NG,NF,NR
maya_core.FPA_PAU25BE,fpa_company,PAU25BE,Preparación PAU +25 B/E,PD003,NG,NF,NR
maya_core.FPA_PAU25C,fpa_company,PAU25C,Preparación PAU +25 C,PD004,NG,NF,NR
maya_core.FPA_PAU25D,fpa_company,PAU25D,Preparación PAU +25 D,PD005,NG,NF,NR
maya_core.FPA_PAU45,fpa_company,PAU45,Preparación acceso universidad +45,PD045,NG,NF,NR
maya_core.FPA_DIGICOMA1,fpa_company,DGCMA1,Competencia digital A1,PE119,NG,NF,NR
maya_core.FPA_DIGICOMA2,fpa_company,DGCMA2,Competencia digital A2,PE120,NG,NF,NR
maya_core.FPA_INGA1,fpa_company,INGA1,Inglés A1,PE121,NG,NF,NR
maya_core.FPA_INGA21,fpa_company,INGA21,Inglés A2-1,PE122,NG,NF,NR
maya_core.FPA_INGA22,fpa_company,INGA22,Inglés A2-2,PE123,NG,NF,NR
maya_core.FPA_INGB11,fpa_company,INGB11,Inglés B1-1,PE133,NG,NF,NR
maya_core.FPA_INGB12,fpa_company,INGB12,Inglés B1-2,PE145,NG,NF,NR
maya_core.FPA_INGB21,fpa_company,INGB21,Inglés B2-1,PE146,NG,NF,NR
maya_core.FPA_INGB22,fpa_company,INGB22,Inglés B2-2,PE147,NG,NF,NR
maya_core.FPA_FRANA1,fpa_company,FRANA1,Francés A1,PE124,NG,NF,NR
maya_core.FPA_FRANA21,fpa_company,FRANA21,Francés A2-1,PE125,NG,NF,NR
maya_core.FPA_FRANA22,fpa_company,FRANA22,Francés A2-2,PE126,NG,NF,NR
maya_core.FPA_ALEMA1,fpa_company,ALEMA1,Alemán A1,PE127,NG,NF,NR
maya_core.FPA_ALEMA21,fpa_company,ALEMA21,Alemán A2-1,PE128,NG,NF,NR
maya_core.FPA_ALEMA22,fpa_company,ALEMA22,Alemán A2-2,PE129,NG,NF,NR
maya_core.FPA_ITAA1,fpa_company,ITAA1,Italiano A1,PE130,NG,NF,NR
maya_core.FPA_ITAA21,fpa_company,ITAA21,Italiano A2-1,PE131,NG,NF,NR
maya_core.FPA_ITAA22,fpa_company,ITAA22,Italiano A2-2,PE132,NG,NF,NR
