id,abbr,name,is_departament
maya_core.dep_ita,ITA,Italiano,1
maya_core.dep_ale,ALE,Alemán,1
maya_core.dep_ap,AP,Artes Plásticas,1
maya_core.dep_eco,ECO,Economía,1
maya_core.dep_ef,EF,Educación Física,1
maya_core.dep_fil,FIL,Filosofia,1
maya_core.dep_fq,FQ,Física y Química,1
maya_core.dep_fr,FR,Francés,1
maya_core.dep_gh,GH,Geografia e História,1
maya_core.dep_gri,GRI,Griego,1
maya_core.dep_ing,ING,Inglés,1
maya_core.dep_lat,LAT,Latín,1
maya_core.dep_lcl,LCL,Lengua Castellana y Literatura,1
maya_core.dep_lvl,LVL,Lengua Valenciana y Literatura,1
maya_core.dep_mat,MAT,Matemáticas,1
maya_core.dep_mus,MUS,Música,1
maya_core.dep_rel,REL,Religión,1
maya_core.dep_tec,TEC,Tecnología,1
maya_core.dep_bio,BIO,Biología,1
maya_core.dep_ed,ED,Equipo Directivo,1
maya_core.dep_mta,MTA,Medios Técnicos y Audiovisuales,1
maya_core.dep_ori,ORI,Orientación,1
maya_core.dep_padm,PADM,Personal Administración,1
maya_core.dep_paux,PAUX,Personal Auxiliar Servicios,1
maya_core.dep_plim,PLIM,Personal Limpieza,0
maya_core.dep_coma,COMA,Comercio y Marketing,1
maya_core.dep_fol,FOL,FOL,1
maya_core.dep_hotu,HOTU,Hosteleria y Turismo,1
maya_core.dep_infor,INFOR,Informática y Comunicaciones,1
maya_core.dep_adge,ADGE,Administración y Gestión,1
maya_core.team_eeuro,EEURO,Equipo de Programas Europeos,0
maya_core.team_einte,EINTE,Equipo de Internacionalización,0
maya_core.team_einno,EINNO,Equipo de Innovatec,0
maya_core.team_eemp,EEMP,Equipo de Emprén,0
maya_core.team_econv,ECONV,Equipo de Convivencia e Igualdad,0
maya_core.team_fe,FE,Equipo de Formación en Empresa,0
maya_core.team_eeras,EERAS,Equipo de Erasmus+,0
maya_core.team_eform,EFORM,Equipo de Formación,0
maya_core.team_eemer,EEMER,Equipo de Emergencias,0
maya_core.team_ecic,ECIC,Equipo de Ciclos,0
maya_core.team_eefp,EEFP,Equipo de EmpleaFP,0
maya_core.team_e1bat,E1BAT,Equipo de 1r Batx,0
maya_core.team_e2bat,E2BAT,Equipo de 2n Batx,0
maya_core.team_ecfgs,ECFGS,Equipo de ACFGS,0
maya_core.team_ecfgm,ECFGM,Equipo de ACFGM,0
maya_core.team_eadom,EADOM,Equipo de Atención Domiciliaria,0
maya_core.team_etic,ETIC,Equipo de Aula Informática y TIC,0
maya_core.team_eaule,EAULE,Equipo de Aules,0
maya_core.team_ebpic,EBPIC,Equipo de Batxillerat Picassent,0
maya_core.team_eaart,EAART,Equipo de AARTS,0
maya_core.team_eeevv,EEEVV,Equipo de EEVV,0
maya_core.team_eespa,EESPA,Equipo de ESPA,0
maya_core.team_eidio,EIDIO,Equipo de Idiomas,0
maya_core.team_ejqcv,EJQCV,Equipo de JQCV,0
maya_core.team_em20,EM20,Equipo de M20,0
maya_core.team_epam,EPAM,Equipo de PAM2545,0
maya_core.team_ecpau,ECPAU,Equipo de PAU,0
maya_core.team_erlca,ERLCA,Equipo de Revisión Lingüística Castellano,0
maya_core.team_erlva,ERLVA,Equipo de Revisión Lingüística Valenciano,0
maya_core.team_cn,CN,Ciencias Naturales,1
maya_core.team_cs,CS,Ciencias Sociales,1
maya_core.team_ct,CT,Científico-Tecnológico,1
maya_core.team_com,COM,Comunicación,1
maya_core.team_opfor,OPFOR,Otros Programas Formativos,0
